Wahlraum-A,rooms,num_rooms,latlong,lat,lon
"Alt Angelmodde 15, 48167 Münster",['221 - Angelstraße'],1,"51.92308165,7.699121370363766",51.92308165,7.699121370363766
"Alter Steinweg 11, 48143 Münster",['014 - Prinzipalmarkt'],1,"51.9629282,7.631154381245056",51.9629282,7.631154381245056
"Am Wigbold 11, 48167 Münster",['211 - Kreuzbach' '214 - Wolbeck Zentrum' '215 - Hofkamp'],3,"51.9153201,7.729627892884797",51.9153201,7.729627892884797
"An der Alten Kirche 161, 48165 Münster","['235 - Hünenburg' '236 - Böttcherstraße' '237 - Albertsheide'
 '238 - Wielandstraße' '255 - Theodor-Storm-Straße' '263 - Langestraße']",6,"51.903663449999996,7.626606101187082",51.903663449999996,7.626606101187082
"An der Konradkirche 7, 48155 Münster",['174 - An der Konradkirche'],1,"51.96324975,7.677774215483531",51.96324975,7.677774215483531
"An der Meerwiese 7, 48157 Münster",['162 - Königsberger Straße' '163 - An der Meerwiese'],2,"51.989158950000004,7.648910980987003",51.989158950000004,7.648910980987003
"Antoniusstraße 32, 48151 Münster",['111 - Goebenstraße'],1,"51.952982899999995,7.621452075627948",51.952982899999995,7.621452075627948
"Appelbreistiege 40, 48149 Münster",['322 - Gievenbecker Weg' '323 - Potstiege' '324 - Twenteweg'],3,"51.96779325,7.581247009083935",51.96779325,7.581247009083935
"Auf dem Dorn 14, 48161 Münster",['293 - Altenroxeler Straße'],1,"51.955106400000005,7.530773881241168",51.955106400000005,7.530773881241168
"Bismarckallee 55, 48151 Münster",['121 - Scharnhorststraße' '122 - Pluggendorf'],2,"51.95197455,7.609399799788202",51.95197455,7.609399799788202
"Bohlweg 7, 48147 Münster",['044 - Landeshaus' '047 - Gartenstraße'],2,"51.9668954,7.638297652655629",51.9668954,7.638297652655629
"Bonhoefferstraße 50, 48151 Münster",['123 - Goerdelerstraße' '124 - Bonhoefferstraße' '125 - Lange Ossenbeck'],3,"51.94163015,7.605145209437712",51.94163015,7.605145209437712
"Bröderichweg 36, 48159 Münster",['153 - Bröderichweg' '156 - Coermühle'],2,"51.99257595,7.6162983710793535",51.99257595,7.6162983710793535
"Coerdestraße 8, 48147 Münster",['033 - Siverdesstraße' '034 - Coerdestraße'],2,"51.9691151,7.6280025",51.9691151,7.6280025
"Corrensstraße 25, 48149 Münster","['301 - Bentelerstraße' '302 - Wasserweg' '303 - Philippistraße'
 '305 - Von-Esmarch-Straße']",4,"51.9682696,7.595463298034186",51.9682696,7.595463298034186
"Dachsleite 32-36, 48157 Münster",['161 - Dachsleite' '166 - Marderweg'],2,"51.9970641,7.6477306",51.9970641,7.6477306
"Dahlweg 118, 48153 Münster",['114 - Weißenburgstraße' '132 - Grevingstraße'],2,"51.9394195,7.628834869047619",51.9394195,7.628834869047619
"Dieckmannstraße 131, 48161 Münster",['314 - Dieckmannstraße' '315 - Heinrich-Ebel-Straße'],2,"51.965217749999994,7.5669587223733625",51.965217749999994,7.5669587223733625
"Dingbängerweg 80, 48163 Münster","['281 - Hesselmann' '283 - Dingbängerweg' '284 - Am Dill'
 '285 - Rote Erde']",4,"51.932620549999996,7.580143024353202",51.932620549999996,7.580143024353202
"Drostestraße 7, 48157 Münster",['182 - Handorfer Straße' '183 - Heriburgstraße' '184 - Ziegelhof'],3,"51.9901032,7.703648538461694",51.9901032,7.703648538461694
"Echelmeyerstraße 19, 48163 Münster",['282 - Ossenkampstiege'],1,"51.9367046,7.592762937389198",51.9367046,7.592762937389198
"Eichenaue 3, 48157 Münster",['181 - Hornheide'],1,"51.995582600000006,7.712675513581021",51.995582600000006,7.712675513581021
"Eichendorffstraße 36, 48167 Münster",['222 - Theodor-Heuss-Straße' '223 - Bachstraße'],2,"51.9147512,7.695004957462609",51.9147512,7.695004957462609
"Finkenstraße 76, 48147 Münster","['021 - Kapuzinerstraße' '022 - Gasselstiege' '023 - Marientalstraße'
 '031 - Finkenstraße']",4,"51.9737797,7.620670488251879",51.9737797,7.620670488251879
"Friedrich-Ebert-Straße 46, 48153 Münster",['101 - Zumbroockstraße' '106 - Kronprinzenstraße' '107 - Herdingstraße'],3,"51.95038475,7.63116767430181",51.95038475,7.63116767430181
"Friesenring 25, 48147 Münster",['051 - Salzmannstraße' '054 - Kinderhauser Straße' '055 - Koburger Weg'],3,"51.975365999999994,7.615509499999999",51.975365999999994,7.615509499999999
"Gelmerheide 3, 48157 Münster",['171 - Gelmer'],1,"52.0297395,7.675133013988717",52.0297395,7.675133013988717
"Glatzer Weg 9, 48151 Münster",['134 - Sternbusch' '135 - Kriegerweg' '136 - Clemenshospital'],3,"51.9331045,7.612316207538708",51.9331045,7.612316207538708
"Gronowskistraße 70, 48161 Münster",['312 - Nünningweg' '313 - Ramertsweg'],2,"51.96836905,7.566242756578949",51.96836905,7.566242756578949
"Grüne Gasse 38-40, 48143 Münster",['015 - Aegidii'],1,"51.9581485,7.6237268",51.9581485,7.6237268
"Gut Insel 36, 48151 Münster",['116 - Oberschlesier Straße'],1,"51.93860585,7.61298881209431",51.93860585,7.61298881209431
"Gutenbergstraße 14, 48145 Münster",['074 - Oststraße' '075 - Zumsandestraße'],2,"51.96006265,7.645207713023179",51.96006265,7.645207713023179
"Hafenstraße 34, 48153 Münster",['091 - Bahnhofstraße'],1,"51.9536301,7.6314782850261444",51.9536301,7.6314782850261444
"Hansaring 80, 48155 Münster",['083 - Lambertistraße' '084 - Hansaplatz'],2,"51.9547017,7.645539912017435",51.9547017,7.645539912017435
